"","words","value"
"563","bombardement",-0.0048
"564","bombardieren",-0.0048
"565","bombardierung",-0.0048
"566","bombastisch",0.2053
"567","bombe",-0.0048
"568","bombig",0.0837
"569","bonität",0.004
"570","bonus",0.004
"571","boom",0.004
"572","boomen",0.004
"573","borniert",-0.0048
"574","bösartig",-0.4715
"575","bösartigkeit",-0.3189
"576","böse",-0.4183
"577","bösewicht",-0.0048
"578","boshaft",-0.3187
"579","bosheit",-0.3371
"580","brand",-0.0048
"581","brandneu",0.004
"582","bravourös",0.004
"583","brechen",-0.7991
"584","breitgefächert",0.004
"585","brennen",-0.0048
"586","brillant",0.3064
"587","brillanz",0.004
"588","brilliant",0.183
"589","brillieren",0.004
"590","brisant",-0.0048
"591","bruch",-0.3463
"592","brüchig",-0.3331
"593","brüderlich",0.004
"594","brüderlichkeit",0.004
"595","brutal",-0.0048
"596","brutalität",-0.0048
"597","bund",0.004
"598","bündnis",0.004
"599","bunt",0.3507
"600","bürde",-0.0524
"601","bußgeld",-0.3377
"602","champion",0.004
"603","chaos",-0.3489
"604","chaotisch",-0.0426
"605","charakterschwach",-0.0048
"606","charakterstark",0.004
"607","charisma",0.004
"608","charismatisch",0.004
"609","charmant",0.3223
"610","charme",0.004
"611","chic",0.0787
"612","clever",0.2243
"613","cleverness",0.004
"614","comeback",0.0712
"615","cool",0.004
"616","crash",-0.1885
"617","dahinschwinden",-0.0048
"618","dämlich",-0.048
"619","dämpfen",-0.0411
"620","dämpfer",-0.0048
"621","dankbar",0.0854
"622","dankbarkeit",0.004
"623","danken",0.191
"624","dauerhaft",0.205
"625","debil",-0.306
"626","defekt",-0.1754
"627","defizit",-0.347
"628","defizitär",-0.4535
"629","deformation",-0.0048
"630","deformieren",-0.0048
"631","degradieren",-0.0048
"632","degradierung",-0.3137
"633","deinstallieren",-0.0048
"634","deinstalliert",-0.0048
"635","dekadent",-0.1769
"636","dekadenz",-0.0048
"637","demütigen",-0.0048
"638","demütigung",-0.0048
"639","denkfaul",-0.0048
"640","denkfehler",-0.0048
"641","denkwürdig",0.004
"642","depression",-0.4951
"643","depressiv",-0.4715
"644","desaster",-0.3413
"645","desinteresse",-0.3348
"646","desinteressiert",-0.0048
"647","desolat",-0.0048
"648","destruktiv",-0.1936
"649","detailliert",0.004
"650","dezimieren",-0.0048
"651","dezimierung",-0.0048
"652","dieb",-0.1962
"653","diebstahl",-0.3505
"654","dienlich",0.004
"655","diffamieren",-0.0048
"656","diffamierung",-0.4591
"657","diffizil",-0.0048
"658","diffus",-0.331
"659","diktator",-0.0048
"660","diktatorisch",-0.0048
"661","dilemma",-0.3403
"662","dilettantisch",-0.0048
"663","diplomatisch",0.004
"664","diskreditieren",-0.323
"665","diskret",0.004
"666","diskretion",0.004
"667","diskriminierung",-0.0048
"668","dissens",-0.0048
"669","distanziert",-0.0048
"670","disziplin",0.0611
"671","diszipliniert",0.004
"672","disziplinlos",-0.0048
"673","dominieren",-0.0048
"674","dominierung",-0.0048
"675","doof",-0.1562
"676","doppeldeutigkeit",-0.0048
"677","doppelspiel",-0.0048
"678","dramatisch",-0.3656
"679","drängelnd",-0.0048
"680","drängen",-0.3516
"681","drastisch",-0.351
"682","dreck",-0.0048
"683","dreckig",-0.016
"684","dreist",-0.4457
"685","drift",-0.0048
"686","driften",-0.0048
"687","drohen",-0.3503
"688","drohung",-0.0048
"689","drosseln",-0.0048
"690","drosselung",-0.3178
"691","duft",0.2149
"692","dufte",0.1958
"693","duften",0.2132
"694","dumm",-0.5901
"695","dummheit",-0.4877
"696","dummkopf",-0.0048
"697","dunkel",-0.0214
"698","dunkelheit",-0.3547
"699","durchdacht",0.2131
"700","durcheinander",-0.0048
"701","durchfallen",-0.1801
"702","durchhalten",0.004
"703","durchschlagend",0.004
"704","dürr",-0.0048
"705","dürre",-0.0048
"706","dussel",-0.3094
"707","dusselig",-0.0409
"708","düster",-0.0187
"709","düsternis",-0.0048
"710","dynamik",0.004
"711","dynamisch",0.004
"712","echtheit",0.004
"713","edel",0.2235
"714","effektiv",0.0971
"715","effektvoll",0.004
"716","effizient",0.004
"717","effizienz",0.004
"718","egoist",-0.3179
"719","egoistisch",-0.3254
"720","ehebrechen",-0.3128
"721","ehebruch",-0.4743
"722","ehre",0.0732
"723","ehren",0.0612
"724","ehrenwert",0.004
"725","ehrfurcht",0.004
"726","ehrfürchtig",0.004
"727","ehrgeizig",0.2076
"728","ehrlich",0.1212
"729","ehrlichkeit",0.004
"730","ehrwürdig",0.004
"731","ehrwürdigkeit",0.004
"732","eifer",0.004
"733","eifern",0.004
"734","eifrig",0.004
"735","eigenartig",-0.0048
"736","eigenkapital",0.004
"737","eignen",0.1006
"738","eignung",0.004
"739","einbehalten",-0.0048
"740","einbrechen",-0.0048
"741","einbrecher",-0.0048
"742","einbruch",-0.3498
"743","einbuße",-0.0048
"744","eindeutig",0.004
"745","eindeutigkeit",0.004
"746","eindrucksvoll",0.3001
"747","einfach",0.004
"748","einfallsreich",0.2031
"749","einfallsreichtum",0.004
"750","einfältig",-0.1858
"751","einflussreich",0.004
"752","einflußreich",0.004
"753","eingehen",-0.0048
"754","eingeschränkt",-0.0048
"755","einhalten",0.004
"756","einhaltung",0.004
"757","einheit",0.004
"758","einheitlich",0.004
"759","einheitlichkeit",0.004
"760","einkauf",0.004
"761","einkaufen",0.2249
"762","einmalig",0.3137
"763","einnahme",0.004
"764","einnehmen",0.004
"765","einsam",-0.1634
"766","einsamkeit",-0.339
"767","einschlag",-0.0048
"768","einschlagen",-0.0048
"769","einschränken",-0.3327
"770","einschränkung",-0.2048
"771","einschrumpfen",-0.0048
